[pt.c] /dev/sgx-step opened!
[pt.c] /dev/mem opened!

--------------------------------------------------------------------------------
[main.c] Creating enclave...
--------------------------------------------------------------------------------

[main.c] cipher is 9334

==== System Settings ====
    Pstate max perf pct: 100
    Pstate min perf pct: 100
    Turbo Boost:         0
    cpu pinning:         1
    Designated cpu:      1
    Running on cpu:      1
==== Victim Enclave ====
    Base: 0x7fab25800000
    Size: 4194304
    Limit:  0x7fab25c00000
    TCS:  0x7fab25b7f000
    AEP:  0x4036da
    EDBGRD: debug
[main.c] Establishing user space IDT mapping
[main.c] ^^ enclave RIP=0x5036; latency=7806
[main.c] ^^ enclave RIP=0x502d; latency=7758
[main.c] ^^ enclave RIP=0x5038; latency=7802
[main.c] ^^ enclave RIP=0x5000; latency=8004
[main.c] ^^ enclave RIP=0x5001; latency=7852
[main.c] ^^ enclave RIP=0x5008; latency=7904
[main.c] ^^ enclave RIP=0x5034; latency=7884
[main.c] ^^ enclave RIP=0x5023; latency=7876
[main.c] ^^ enclave RIP=0x5036; latency=7820
[main.c] ^^ enclave RIP=0x502d; latency=7848
[main.c] ^^ enclave RIP=0x5038; latency=7796
[main.c] ^^ enclave RIP=0x5030; latency=8050
[main.c] ^^ enclave RIP=0x5031; latency=7928
[main.c] ^^ enclave RIP=0x20d4; latency=7984
[main.c] ^^ enclave RIP=0x20de; latency=7940
[main.c] ^^ enclave RIP=0x20e8; latency=7972
[main.c] ^^ enclave RIP=0x20e9; latency=7904
[main.c] ^^ enclave RIP=0x4001; latency=7788
[main.c] ^^ enclave RIP=0x4008; latency=7834
[main.c] ^^ enclave RIP=0x400f; latency=8034
[main.c] ^^ enclave RIP=0x4016; latency=7906
[main.c] ^^ enclave RIP=0x401a; latency=7730
[main.c] ^^ enclave RIP=0x5032; latency=7832
[main.c] ^^ enclave RIP=0x5008; latency=7788
[main.c] ^^ enclave RIP=0x5034; latency=7938
[main.c] ^^ enclave RIP=0x5023; latency=7812
[main.c] ^^ enclave RIP=0x5036; latency=7788
[main.c] ^^ enclave RIP=0x502d; latency=7730
[main.c] ^^ enclave RIP=0x5038; latency=7776
[main.c] ^^ enclave RIP=0x500a; latency=8040
