[pt.c] /dev/sgx-step opened!
[pt.c] /dev/mem opened!

--------------------------------------------------------------------------------
[main.c] Creating enclave...
--------------------------------------------------------------------------------

[main.c] cipher is 9334

==== System Settings ====
    Pstate max perf pct: 100
    Pstate min perf pct: 100
    Turbo Boost:         0
    cpu pinning:         1
    Designated cpu:      1
    Running on cpu:      1
==== Victim Enclave ====
    Base: 0x7f9447000000
    Size: 4194304
    Limit:  0x7f9447400000
    TCS:  0x7f944737f000
    AEP:  0x4036ec
    EDBGRD: debug
[main.c] Establishing user space IDT mapping
[main.c] ^^ enclave RIP=0x8712; latency=7908
[main.c] ^^ enclave RIP=0x8714; latency=7916
[main.c] ^^ enclave RIP=0x8716; latency=7860
[main.c] ^^ enclave RIP=0x8718; latency=8054
[main.c] ^^ enclave RIP=0x8719; latency=7860
[main.c] ^^ enclave RIP=0x871a; latency=8024
[main.c] ^^ enclave RIP=0x871e; latency=7986
[main.c] ^^ enclave RIP=0x8721; latency=7840
[main.c] ^^ enclave RIP=0x8726; latency=7856
[main.c] ^^ enclave RIP=0x8728; latency=7988
[main.c] ^^ enclave RIP=0x872b; latency=7828
[main.c] ^^ enclave RIP=0x872e; latency=7800
[main.c] ^^ enclave RIP=0x8731; latency=7800
[main.c] ^^ enclave RIP=0x8734; latency=7774
[main.c] ^^ enclave RIP=0x8750; latency=7750
[main.c] ^^ enclave RIP=0x8753; latency=8046
[main.c] ^^ enclave RIP=0x8758; latency=7984
[main.c] ^^ enclave RIP=0x875b; latency=7906
[main.c] ^^ enclave RIP=0x875e; latency=7822
[main.c] ^^ enclave RIP=0x8762; latency=7856
[main.c] ^^ enclave RIP=0x8766; latency=7794
[main.c] ^^ enclave RIP=0x8769; latency=7926
[main.c] ^^ enclave RIP=0x202f; latency=7780
[main.c] ^^ enclave RIP=0x2031; latency=7970
[main.c] ^^ enclave RIP=0x2033; latency=7880
[main.c] ^^ enclave RIP=0x2037; latency=7734
[main.c] ^^ enclave RIP=0x203a; latency=7804
[main.c] ^^ enclave RIP=0x203d; latency=7740
[main.c] ^^ enclave RIP=0x2041; latency=8060
[main.c] ^^ enclave RIP=0x876c; latency=7842
[main.c] ^^ enclave RIP=0x8771; latency=7838
